epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
131,4868.2,0.29637,0.45993,0.23528,0.73212,0.65351,0.70451,0.3797,0.53897,0.65903,0.6923,0.000142,0.000142,0.000142
132,4905.34,0.29943,0.45375,0.23198,0.76301,0.64878,0.70493,0.37905,0.53235,0.68063,0.67946,0.0001354,0.0001354,0.0001354
133,4942.11,0.29981,0.4572,0.23257,0.74615,0.65985,0.70123,0.37748,0.54851,0.65351,0.70696,0.0001288,0.0001288,0.0001288
134,4979.11,0.29416,0.45601,0.23459,0.73682,0.64248,0.69292,0.37329,0.54149,0.66007,0.70683,0.0001222,0.0001222,0.0001222
135,5015.94,0.29218,0.44456,0.23112,0.71917,0.67135,0.70496,0.38278,0.53625,0.65388,0.69305,0.0001156,0.0001156,0.0001156
136,5053.09,0.29271,0.44838,0.2329,0.73669,0.66289,0.70501,0.38433,0.54139,0.66564,0.69589,0.000109,0.000109,0.000109
137,5090.09,0.2954,0.44883,0.23165,0.77219,0.66898,0.7149,0.38654,0.53395,0.65622,0.69106,0.0001024,0.0001024,0.0001024
138,5126.89,0.29347,0.45034,0.22919,0.76404,0.65478,0.7046,0.38214,0.53304,0.66999,0.68824,9.58e-05,9.58e-05,9.58e-05
139,5163.81,0.28605,0.44028,0.22446,0.75895,0.66466,0.7113,0.38549,0.53172,0.66932,0.67499,8.92e-05,8.92e-05,8.92e-05
140,5200.7,0.28469,0.44868,0.22219,0.74859,0.67579,0.7149,0.39395,0.52905,0.66436,0.67758,8.26e-05,8.26e-05,8.26e-05
141,5239.55,0.24026,0.41819,0.23286,0.78156,0.67538,0.72596,0.39954,0.51666,0.66518,0.66765,7.6e-05,7.6e-05,7.6e-05
142,5277.91,0.23654,0.39291,0.23097,0.77854,0.69029,0.73036,0.39724,0.52648,0.65322,0.69452,6.94e-05,6.94e-05,6.94e-05
143,5315.17,0.23312,0.39402,0.22473,0.73153,0.70792,0.72799,0.39626,0.53692,0.62692,0.7069,6.28e-05,6.28e-05,6.28e-05
144,5352.88,0.22485,0.36366,0.2159,0.74879,0.69463,0.72627,0.3971,0.53583,0.64494,0.70793,5.62e-05,5.62e-05,5.62e-05
145,5390.33,0.21817,0.36647,0.21042,0.77468,0.6605,0.71843,0.40214,0.52588,0.64316,0.69539,4.96e-05,4.96e-05,4.96e-05
146,5428.54,0.21721,0.3696,0.20948,0.75701,0.68081,0.72584,0.401,0.52513,0.64243,0.70283,4.3e-05,4.3e-05,4.3e-05
147,5466.14,0.2204,0.35723,0.20498,0.76084,0.67552,0.72422,0.39747,0.52861,0.66102,0.69288,3.64e-05,3.64e-05,3.64e-05
148,5503.52,0.21805,0.36391,0.21347,0.70503,0.71677,0.72034,0.39902,0.52712,0.65438,0.69466,2.98e-05,2.98e-05,2.98e-05
149,5541.17,0.21323,0.34651,0.20197,0.78504,0.66986,0.72909,0.40069,0.52546,0.65153,0.68674,2.32e-05,2.32e-05,2.32e-05
150,5578.63,0.21577,0.34312,0.2019,0.76783,0.66966,0.72654,0.40062,0.52341,0.6613,0.6951,1.66e-05,1.66e-05,1.66e-05
