epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
68,1837.69,0.40797,0.6391,0.33689,0.63269,0.60909,0.63425,0.33549,nan,nan,nan,0.0005578,0.0005578,0.0005578
69,1864.03,0.40263,0.64591,0.32952,0.6663,0.62242,0.64931,0.36552,nan,nan,nan,0.0005512,0.0005512,0.0005512
70,1890.5,0.39354,0.63545,0.31912,0.6527,0.6577,0.66707,0.35852,0.48579,0.72955,0.55149,0.0005446,0.0005446,0.0005446
71,1916.81,0.4032,0.61975,0.32886,0.65476,0.6482,0.67171,0.34789,nan,nan,nan,0.000538,0.000538,0.000538
72,1943.29,0.40159,0.62931,0.33652,0.64904,0.66725,0.66927,0.3695,nan,nan,nan,0.0005314,0.0005314,0.0005314
73,1969.57,0.39813,0.63544,0.32627,0.64315,0.6458,0.66904,0.37136,0.47136,0.74085,0.53884,0.0005248,0.0005248,0.0005248
74,1995.86,0.39301,0.62458,0.32967,0.67878,0.68721,0.67153,0.37048,nan,nan,nan,0.0005182,0.0005182,0.0005182
75,2022.41,0.39968,0.64431,0.32446,0.70963,0.63597,0.69368,0.37822,nan,nan,nan,0.0005116,0.0005116,0.0005116
76,2049.51,0.40047,0.65928,0.33094,0.64354,0.62365,0.61303,0.34192,nan,nan,nan,0.000505,0.000505,0.000505
77,2075.94,0.39695,0.61945,0.32871,0.673,0.68418,0.69615,0.381,nan,nan,nan,0.0004984,0.0004984,0.0004984
78,2103.01,0.38995,0.63481,0.32218,0.6601,0.65997,0.66102,0.37426,nan,nan,nan,0.0004918,0.0004918,0.0004918
79,2129.39,0.38381,0.61855,0.31402,0.68494,0.64115,0.65379,0.35634,nan,nan,nan,0.0004852,0.0004852,0.0004852
80,2155.91,0.38538,0.60041,0.31546,0.6961,0.6401,0.66017,0.36634,nan,nan,nan,0.0004786,0.0004786,0.0004786
81,2182.25,0.38589,0.60554,0.3154,0.67315,0.63551,0.67322,0.36235,nan,nan,nan,0.000472,0.000472,0.000472
82,2208.78,0.38991,0.58154,0.31527,0.67022,0.65456,0.66454,0.35346,nan,nan,nan,0.0004654,0.0004654,0.0004654
83,2235.12,0.37955,0.60133,0.31443,0.68618,0.66206,0.6984,0.38968,nan,nan,nan,0.0004588,0.0004588,0.0004588
84,2262.17,0.37804,0.58906,0.31315,0.68994,0.6731,0.67849,0.36789,0.49599,0.72902,0.58129,0.0004522,0.0004522,0.0004522
85,2288.68,0.37176,0.5942,0.30241,0.67705,0.67876,0.70033,0.39015,0.48199,0.69917,0.5712,0.0004456,0.0004456,0.0004456
86,2315.75,0.37155,0.59077,0.31061,0.70144,0.68834,0.69257,0.36537,nan,nan,nan,0.000439,0.000439,0.000439
87,2342.25,0.37978,0.59449,0.30875,0.6641,0.66567,0.69824,0.38273,0.50252,0.68543,0.60532,0.0004324,0.0004324,0.0004324
88,2368.59,0.3765,0.56757,0.31698,0.71997,0.67503,0.71855,0.38387,0.49558,0.68807,0.59113,0.0004258,0.0004258,0.0004258
89,2394.91,0.37326,0.57587,0.30563,0.66644,0.64853,0.6641,0.36885,0.50377,0.68979,0.58686,0.0004192,0.0004192,0.0004192
90,2421.4,0.37586,0.56767,0.31452,0.71359,0.66896,0.70015,0.37247,0.50269,0.69629,0.60512,0.0004126,0.0004126,0.0004126
91,2447.76,0.3736,0.55731,0.30253,0.68553,0.69149,0.6887,0.3785,nan,nan,nan,0.000406,0.000406,0.000406
92,2474.26,0.3644,0.5564,0.29538,0.70971,0.67124,0.6972,0.38164,nan,nan,nan,0.0003994,0.0003994,0.0003994
93,2500.55,0.36665,0.54614,0.30074,0.71674,0.64648,0.68448,0.36328,nan,nan,nan,0.0003928,0.0003928,0.0003928
94,2526.92,0.35662,0.55712,0.29553,0.69558,0.67616,0.70825,0.37589,0.49611,0.72323,0.5923,0.0003862,0.0003862,0.0003862
95,2553.36,0.36518,0.56088,0.29172,0.68409,0.67805,0.68369,0.35741,nan,nan,nan,0.0003796,0.0003796,0.0003796
96,2579.79,0.35752,0.54952,0.28903,0.67621,0.6678,0.6898,0.36956,nan,nan,nan,0.000373,0.000373,0.000373
97,2606.22,0.36078,0.55931,0.29589,0.73309,0.67058,0.69676,0.36948,nan,nan,nan,0.0003664,0.0003664,0.0003664
98,2632.49,0.36648,0.55479,0.29393,0.68796,0.71039,0.69682,0.37019,0.51437,0.6948,0.64124,0.0003598,0.0003598,0.0003598
99,2658.81,0.35393,0.5352,0.2926,0.67126,0.69224,0.68469,0.36666,0.5072,0.70159,0.6108,0.0003532,0.0003532,0.0003532
100,2685.31,0.35386,0.5347,0.28322,0.70916,0.66348,0.68301,0.36682,0.51712,0.68216,0.64424,0.0003466,0.0003466,0.0003466
101,2711.61,0.34493,0.54701,0.28337,0.71295,0.65147,0.70674,0.3843,0.50309,0.69219,0.60296,0.00034,0.00034,0.00034
102,2738.1,0.34843,0.53594,0.2801,0.72202,0.67954,0.70811,0.38469,0.49131,0.69382,0.62438,0.0003334,0.0003334,0.0003334
103,2764.42,0.35294,0.51861,0.28975,0.69238,0.67039,0.67919,0.35823,nan,nan,nan,0.0003268,0.0003268,0.0003268
104,2790.83,0.34747,0.54157,0.28494,0.70298,0.69122,0.69788,0.37618,nan,nan,nan,0.0003202,0.0003202,0.0003202
105,2817.31,0.34727,0.5097,0.27753,0.73351,0.63962,0.68741,0.36469,nan,nan,nan,0.0003136,0.0003136,0.0003136
106,2843.66,0.34566,0.53227,0.27868,0.67813,0.6967,0.68135,0.36344,0.50422,0.71051,0.61194,0.000307,0.000307,0.000307
107,2869.92,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003004,0.0003004,0.0003004
108,2896.08,0.34198,0.5312,0.27849,0,0,0,0,nan,nan,nan,0.0002938,0.0002938,0.0002938
109,2922.34,0.33826,0.51768,0.26927,0,0,0,0,nan,nan,nan,0.0002872,0.0002872,0.0002872
110,2948.48,0.33953,0.51922,0.26998,0,0,0,0,nan,nan,nan,0.0002806,0.0002806,0.0002806
111,2974.65,0.33438,0.51582,0.26943,0,0,0,0,nan,nan,nan,0.000274,0.000274,0.000274
112,3001.14,0.32657,0.49962,0.26299,0,0,0,0,nan,nan,nan,0.0002674,0.0002674,0.0002674
113,3027.25,0.3367,0.49999,0.26542,0,0,0,0,nan,nan,nan,0.0002608,0.0002608,0.0002608
114,3053.56,0.3271,0.50153,0.26006,0,0,0,0,nan,nan,nan,0.0002542,0.0002542,0.0002542
115,3079.65,0.3321,0.49912,0.26592,0,0,0,0,nan,nan,nan,0.0002476,0.0002476,0.0002476
