epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,636.744,1.24152,1.14977,1.41055,0.6327,0.66619,0.68112,0.37685,1.54054,1.32096,1.63547,0.0004786,0.0004786,0.0004786
81,644.595,1.24668,1.14711,1.40109,0.65145,0.67397,0.71015,0.38404,1.54774,1.27017,1.63413,0.000472,0.000472,0.000472
82,652.603,1.23822,1.12991,1.40266,0.65328,0.68198,0.70743,0.38506,1.56683,1.27917,1.62994,0.0004654,0.0004654,0.0004654
83,660.434,1.23634,1.14984,1.39096,0.67879,0.68394,0.71419,0.38503,1.56814,1.28498,1.63722,0.0004588,0.0004588,0.0004588
84,668.292,1.22471,1.13855,1.40777,0.6621,0.64452,0.69627,0.37254,1.59141,1.31259,1.65546,0.0004522,0.0004522,0.0004522
85,676.238,1.21653,1.12605,1.39741,0.66319,0.69045,0.72365,0.38344,1.57774,1.26785,1.6636,0.0004456,0.0004456,0.0004456
86,684.092,1.20985,1.11417,1.39592,0.6451,0.71944,0.7314,0.38299,1.62719,1.238,1.68524,0.000439,0.000439,0.000439
87,691.963,1.22917,1.1282,1.39711,0.69228,0.69293,0.73213,0.39634,1.56562,1.23469,1.62174,0.0004324,0.0004324,0.0004324
88,699.869,1.22502,1.11437,1.39565,0.69926,0.6594,0.71235,0.37642,1.59253,1.25642,1.67436,0.0004258,0.0004258,0.0004258
89,707.795,1.22292,1.11213,1.39793,0.7105,0.62217,0.69225,0.37868,1.58972,1.26992,1.66414,0.0004192,0.0004192,0.0004192
90,715.624,1.2099,1.09752,1.39306,0.674,0.6572,0.70297,0.38387,1.56612,1.26854,1.64612,0.0004126,0.0004126,0.0004126
91,723.522,1.21694,1.0981,1.38418,0.68916,0.66036,0.71442,0.38377,1.60682,1.24611,1.67759,0.000406,0.000406,0.000406
92,731.444,1.20108,1.08412,1.37322,0.71305,0.62961,0.70637,0.38531,1.58368,1.25771,1.65674,0.0003994,0.0003994,0.0003994
93,739.342,1.19191,1.05594,1.37277,0.64305,0.71012,0.72054,0.38531,1.58623,1.22327,1.67198,0.0003928,0.0003928,0.0003928
94,747.246,1.16485,1.05488,1.35749,0.69346,0.6634,0.72037,0.3912,1.58472,1.26512,1.6612,0.0003862,0.0003862,0.0003862
95,755.201,1.19868,1.07515,1.36979,0.69527,0.65326,0.71472,0.38643,1.56341,1.25326,1.65893,0.0003796,0.0003796,0.0003796
96,763.112,1.17294,1.07567,1.36678,0.73323,0.6286,0.71284,0.38894,1.57787,1.2531,1.67093,0.000373,0.000373,0.000373
97,770.989,1.18906,1.08391,1.39113,0.64431,0.7017,0.70274,0.37485,1.63163,1.26943,1.69794,0.0003664,0.0003664,0.0003664
98,778.933,1.19553,1.07603,1.38183,0.67179,0.69057,0.73278,0.39908,1.60783,1.21214,1.68459,0.0003598,0.0003598,0.0003598
99,786.9,1.18098,1.05254,1.36425,0.67864,0.67496,0.72098,0.39778,1.56928,1.23251,1.65672,0.0003532,0.0003532,0.0003532
100,794.842,1.16722,1.0338,1.36023,0.66715,0.68809,0.70895,0.39311,1.57016,1.23605,1.65626,0.0003466,0.0003466,0.0003466
101,802.727,1.1634,1.06424,1.36635,0.71404,0.64015,0.71019,0.39138,1.56407,1.24155,1.63617,0.00034,0.00034,0.00034
102,810.626,1.16351,1.04912,1.35664,0.68049,0.67928,0.721,0.40791,1.54123,1.19038,1.66147,0.0003334,0.0003334,0.0003334
103,818.611,1.16323,1.02058,1.36733,0.63855,0.70833,0.70864,0.38297,1.61109,1.25212,1.67974,0.0003268,0.0003268,0.0003268
104,826.495,1.17364,1.03973,1.35932,0.65129,0.70163,0.71503,0.40082,1.56744,1.21369,1.67429,0.0003202,0.0003202,0.0003202
105,834.363,1.16329,1.02228,1.35538,0.67644,0.72815,0.73598,0.40296,1.57995,1.21357,1.67292,0.0003136,0.0003136,0.0003136
106,842.243,1.17352,1.03597,1.36187,0.70389,0.66355,0.72023,0.39316,1.60212,1.22624,1.68214,0.000307,0.000307,0.000307
107,850.156,1.1528,1.00439,1.33956,0.6683,0.71559,0.72434,0.39542,1.57529,1.19303,1.6759,0.0003004,0.0003004,0.0003004
108,858.04,1.16317,1.03105,1.35247,0.62837,0.69,0.70099,0.38277,1.56999,1.23888,1.65467,0.0002938,0.0002938,0.0002938
109,865.914,1.14187,0.99182,1.33947,0.74737,0.64753,0.73973,0.40556,1.5611,1.17976,1.63286,0.0002872,0.0002872,0.0002872
110,873.782,1.15466,1.01087,1.34833,0.68437,0.68013,0.7195,0.39105,1.59702,1.19341,1.66528,0.0002806,0.0002806,0.0002806
111,881.66,1.13413,0.99749,1.33861,0.65343,0.70982,0.71706,0.39341,1.57785,1.1963,1.6668,0.000274,0.000274,0.000274
112,889.546,1.12348,0.97668,1.32644,0.76071,0.64515,0.7249,0.40112,1.585,1.1905,1.67077,0.0002674,0.0002674,0.0002674
113,897.409,1.13971,0.98064,1.32884,0.666,0.69998,0.72109,0.3971,1.58143,1.20555,1.67879,0.0002608,0.0002608,0.0002608
