epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
69,892.015,1.63664,1.59717,0.03217,0.56917,0.54093,0.56233,0.2516,1.73081,1.67591,0.03873,0.0005512,0.0005512,0.0005512
70,904.651,1.66537,1.60173,0.0327,0.50896,0.54635,0.53357,0.25176,1.74134,1.67329,0.03902,0.0005446,0.0005446,0.0005446
71,916.892,1.64096,1.56685,0.03228,0.51365,0.5823,0.56522,0.25943,1.75024,1.64304,0.03894,0.000538,0.000538,0.000538
72,929.599,1.64232,1.55518,0.033,0.55286,0.54502,0.56444,0.2504,1.79096,1.65919,0.04098,0.0005314,0.0005314,0.0005314
73,941.719,1.64336,1.55035,0.03229,0.51825,0.58709,0.58231,0.28306,1.71768,1.60433,0.03862,0.0005248,0.0005248,0.0005248
74,954.318,1.60841,1.53279,0.03109,0.53986,0.59148,0.59655,0.27489,1.68371,1.57755,0.03823,0.0005182,0.0005182,0.0005182
75,968.263,1.61326,1.51455,0.03154,0.52948,0.57653,0.57914,0.26964,1.73424,1.59235,0.03919,0.0005116,0.0005116,0.0005116
76,980.765,1.64632,1.50974,0.03241,0.50632,0.58758,0.56545,0.27277,1.7566,1.58431,0.03934,0.000505,0.000505,0.000505
77,992.862,1.60734,1.49462,0.03126,0.55577,0.55049,0.57563,0.27815,1.72617,1.58744,0.03889,0.0004984,0.0004984,0.0004984
78,1005.44,1.62081,1.49069,0.03221,0.55421,0.53345,0.58271,0.27568,1.71909,1.58003,0.03808,0.0004918,0.0004918,0.0004918
79,1017.56,1.59923,1.47451,0.03152,0.5543,0.57104,0.58172,0.27281,1.70975,1.59971,0.03837,0.0004852,0.0004852,0.0004852
80,1031.39,1.58832,1.47596,0.03125,0.5548,0.5774,0.58556,0.27672,1.73495,1.58461,0.03871,0.0004786,0.0004786,0.0004786
81,1043.47,1.60693,1.47419,0.03147,0.49402,0.56772,0.57629,0.27579,1.71053,1.58772,0.03774,0.000472,0.000472,0.000472
82,1055.58,1.60593,1.44936,0.03139,0.53619,0.60139,0.61044,0.2912,1.69388,1.53806,0.03801,0.0004654,0.0004654,0.0004654
83,1068.53,1.61472,1.47106,0.03176,0.54565,0.57978,0.60504,0.27931,1.74214,1.5806,0.03881,0.0004588,0.0004588,0.0004588
84,1080.83,1.57552,1.45744,0.03084,0.55127,0.58719,0.60738,0.28903,1.71378,1.53673,0.0383,0.0004522,0.0004522,0.0004522
85,1092.95,1.59477,1.45969,0.03138,0.57416,0.56653,0.60182,0.2919,1.68159,1.52976,0.03802,0.0004456,0.0004456,0.0004456
86,1105.47,1.58559,1.47067,0.03043,0.54326,0.57945,0.59176,0.28625,1.70948,1.57839,0.0377,0.000439,0.000439,0.000439
